recurrent,random
4136,23206
4219,23566
4168,32121
3942,18575
3878,25867
3885,26964
4064,23374
4197,22557
4190,22974
4145,25190
4261,28361
4344,33448
3986,30345
3919,20495
4076,17801
4172,26987
4237,22182
4175,23905
4243,27219
3958,23771
4012,16413
4254,21739
4205,21439
4235,25566
4172,21727
4237,29205
3844,25998
4011,19540
4165,21795
4152,21402
4284,22130
4244,25147
4256,27871
3957,23976
4010,16908
4353,21153
4356,21621
4276,22180
4181,23999
4243,27303
3971,23102
4086,17305
4267,21118
4286,20912
4204,21625
4210,23860
4282,28266
3915,25505
3994,16973
4176,20629
4167,20518
4121,21381
4213,22755
4198,28627
3967,24861
4031,16210
4211,22875
4167,21954
4048,21702
4160,24785
4061,28225
3826,23871
3847,18680
4041,21286
3955,20570
4068,21164
4030,24025
4094,28483
3765,27164
3761,18320
3892,21494
3903,21146
3793,22761
3735,23510
3756,27407
3541,24771
3726,17933
3744,21049
3696,20045
3529,20308
3490,22491
3513,26035
3362,25114
3400,17980
3343,21028
3349,20092
