day,ndid_1,ndid_2,pdid_1,pdid_2
2024-04-29,315944,14,0.0038065542,0.0027787846
2024-04-30,315109,69,0.0037964939,0.0027714407
2024-05-01,302496,69,0.0036445302,0.002660507
2024-05-02,316290,19,0.0038107228,0.0027818277
2024-05-03,317821,115,0.0038291686,0.0027952932
2024-05-04,303686,370,0.0036588674,0.0026709733
2024-05-05,304955,168,0.0036741567,0.0026821343
2024-05-06,310583,26,0.0037419638,0.0027316336
2024-05-07,313109,24,0.0037723975,0.0027538503
2024-05-08,312254,37,0.0037620964,0.0027463303
2024-05-09,286221,99,0.0034484458,0.0025173654
2024-05-10,300095,76,0.0036156024,0.0026393898
2024-05-11,288107,427,0.0034711687,0.0025339532
2024-05-12,294994,192,0.0035541446,0.0025945255
2024-05-13,300026,21,0.0036147712,0.0026387828
2024-05-14,299256,46,0.003605494,0.0026320105
2024-05-15,304657,38,0.0036705662,0.0026795133
2024-05-16,309426,25,0.0037280242,0.0027214575
2024-05-17,305500,104,0.0036807228,0.0026869278
2024-05-18,286551,440,0.0034524216,0.0025202679
2024-05-19,279036,298,0.0033618796,0.0024541721
2024-05-20,291082,31,0.003507012,0.0025601187
2024-05-21,294146,74,0.0035439278,0.0025870672
2024-05-22,295967,25,0.0035658674,0.0026030832
2024-05-23,295887,35,0.0035649035,0.0026023795
2024-05-24,296665,124,0.003574277,0.0026092222
2024-05-25,285030,177,0.0034340965,0.0025068903
2024-05-26,282737,178,0.00340647,0.002486723
2024-05-27,289852,41,0.0034921928,0.0025493007
2024-05-28,290432,22,0.0034991808,0.002554402
2024-05-29,295805,30,0.0035639156,0.0026016585
2024-05-30,289687,15,0.003490205,0.0025478494
2024-05-31,296972,55,0.0035779758,0.0026119223
2024-06-01,283001,74,0.0034096506,0.002489045
2024-06-02,281880,58,0.0033961446,0.0024791856
2024-06-03,285261,42,0.0034368795,0.002508922
2024-06-04,285401,26,0.0034385663,0.0025101535
2024-06-05,292851,18,0.0035283254,0.0025756774
2024-06-06,291539,53,0.003512518,0.0025641383
2024-06-07,287557,49,0.003464542,0.0025291159
2024-06-08,275089,42,0.0033143254,0.0024194575
2024-06-09,274698,82,0.0033096145,0.0024160186
2024-06-10,280393,23,0.003378229,0.002466107
2024-06-11,283744,24,0.0034186025,0.0024955797
2024-06-12,280630,142,0.0033810844,0.0024681916
2024-06-13,283223,49,0.0034123254,0.0024909975
2024-06-14,282625,53,0.0034051205,0.002485738
2024-06-15,275869,142,0.0033237229,0.0024263177
2024-06-16,276525,97,0.0033316265,0.0024320874
2024-06-17,283313,71,0.0034134097,0.002491789
2024-06-18,281886,63,0.0033962168,0.0024792382
2024-06-19,278284,75,0.0033528192,0.002447558
2024-06-20,285839,65,0.0034438435,0.0025140056
2024-06-21,290153,152,0.0034958192,0.0025519482
2024-06-22,278567,279,0.0033562288,0.002450047
2024-06-23,278079,85,0.0033503494,0.002445755
2024-06-24,283539,41,0.0034161324,0.0024937768
2024-06-25,282618,87,0.0034050362,0.0024856764
2024-06-26,284863,101,0.0034320843,0.0025054216
2024-06-27,291558,16,0.003512747,0.0025643052
2024-06-28,290891,30,0.0035047107,0.0025584388
2024-06-29,276866,117,0.0033357348,0.0024350865
2024-06-30,281322,92,0.0033894216,0.0024742777
2024-07-01,290731,49,0.0035027831,0.0025570316
2024-07-02,287229,61,0.0034605903,0.0025262309
2024-07-03,285770,11,0.003443012,0.0025133989
2024-07-04,290847,22,0.0035041808,0.0025580518
2024-07-05,280106,122,0.003374771,0.002463583
2024-07-06,279111,91,0.0033627832,0.0024548317
2024-07-07,277636,24,0.003345012,0.0024418589
2024-07-08,284519,23,0.0034279397,0.002502396
2024-07-09,285167,37,0.003435747,0.0025080952
2024-07-10,288797,28,0.003479482,0.002540022
2024-07-11,286550,72,0.0034524095,0.002520259
2024-07-12,285662,125,0.003441711,0.002512449
2024-07-13,272771,163,0.0032863976,0.0023990702
2024-07-14,269651,66,0.0032488073,0.0023716292
2024-07-15,275889,23,0.0033239638,0.0024264937
2024-07-16,275780,52,0.0033226507,0.0024255349
2024-07-17,276792,119,0.0033348433,0.0024344358
2024-07-18,277386,108,0.003342,0.00243966
2024-07-19,275799,190,0.0033228796,0.002425702
2024-07-20,267793,206,0.0032264218,0.0023552878
2024-07-21,269691,96,0.0032492892,0.002371981
2024-07-22,273490,27,0.0032950602,0.0024053939
2024-07-23,275635,65,0.0033209035,0.0024242597
2024-07-24,274229,36,0.003303964,0.0024118936
2024-07-25,270292,40,0.00325653,0.002377267
2024-07-26,271255,152,0.0032681325,0.0023857367
2024-07-27,261376,248,0.0031491085,0.0022988492
2024-07-28,259693,70,0.0031288313,0.002284047
2024-07-29,264659,103,0.0031886627,0.0023277237
2024-07-30,268545,110,0.003235482,0.0023619018
2024-07-31,271819,98,0.0032749276,0.0023906971
2024-08-01,273442,18,0.003294482,0.0024049717
2024-08-02,270430,82,0.0032581927,0.0023784807
2024-08-03,261318,249,0.0031484095,0.002298339
2024-08-04,261409,50,0.003149506,0.0022991395
